Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
B,singular,NEUTRAL,0.0
I,singular,NEUTRAL,0.0
C,singular,NEUTRAL,0.0
WILL BE MOVING .I GAVE VALUE,singular,NEUTRAL,0.0
INC.,singular,NEUTRAL,0.0
RECREATION & HISTORIC PHISTORIC PRESERVATION         ATTN: ACCOUNTS PAYABLE,singular,NEUTRAL,0.0
93171120400,singular,NEUTRAL,0.0
CPA                                        ASK FOR GABBY OFFICE,singular,NEUTRAL,0.0
INC.                                       BRANDON SHOUN,singular,NEUTRAL,0.0
JR.                                 KIM WOLSTENHOLME,singular,NEUTRAL,0.0
BROKER                                        GAIL LOBELLO,singular,NEUTRAL,0.0
I CANNOT FIND WHAT THIS ADJUSTMENT OFFSET.  PLEASE POST THIS CK PMT OF $45.63 TO THE CORRECT PP ACCOUNT AND THEN INFORM CUST,singular,NEUTRAL,0.0
LLC                                              JOE LOUDERMILK,singular,NEUTRAL,0.0
YEAR): 07,singular,NEUTRAL,0.0
LLC                                        PAYAM GHOFRANI,singular,NEUTRAL,0.0
PA,singular,NEUTRAL,0.0
YEAR): 04/11/12 FEES TO BE WAIVED: BOTH LATE FEE AND FINANCE CHARGE FEE WAIVER REASON CODE: WF REASON FOR WAIVER: CUSTOMERS RENTAL ACCOUNT IS BEING ADJUSTED. WE ARE WAIVING $55.93 IN REFILL FEES. THIS MAKES BALANCE DUE ON PP ONLY $16.47. PLEASE MAKE SURE WE DO NOT CHARGE ANY LATE FEES OR FINANCE CHARGES WHILE THIS ADJUSTMENT IS TAKING PLACE.,singular,NEUTRAL,0.0
YEAR): 5/11/2012 FEES TO BE WAIVED: BOTH LATE FEE AND FINANCE CHARGE FEE WAIVER REASON CODE: 24 REASON FOR WAIVER: CURRENTLY GOING THROUGH ADJUSTMENTS ON THE BILLING,singular,NEUTRAL,0.0
OD                                          BRIAN M CELICO,singular,NEUTRAL,0.0
INC.                                     DARREN JONES,singular,NEUTRAL,0.0
INC.                                         JOE MOSER,singular,NEUTRAL,0.0
INC.                                    PAUL MORIARITY,singular,NEUTRAL,0.0
CPA                                        RAYMOND HANER,singular,NEUTRAL,0.0
COMBINATION,singular,NEUTRAL,0.0
BUSINESS,singular,NEUTRAL,0.0
INDIVIDUAL,singular,NEUTRAL,0.0
